행정구역별(시군구),가구주의 성별,가구주의 연령별,항목,년도,가구수,시군구_TF,행정구역별(상세)
　　　도봉구,계,합계,2세대가구-부부+미혼자녀+부부미혼형제자매,2016,581.0,1,서울특별시  도봉구
　　　도봉구,계,합계,2세대가구-조부모+미혼손자녀,2016,259.0,1,서울특별시  도봉구
　　　도봉구,계,합계,2세대가구-조부 또는 조모+미혼손자녀,2016,367.0,1,서울특별시  도봉구
　　　도봉구,계,합계,2세대가구-기타,2016,5548.0,1,서울특별시  도봉구
　　　도봉구,계,합계,3세대가구-부부+미혼자녀+양친,2016,826.0,1,서울특별시  도봉구
　　　도봉구,계,합계,3세대가구-부부+미혼자녀+부친,2016,538.0,1,서울특별시  도봉구
　　　도봉구,계,합계,3세대가구-부부+미혼자녀+모친,2016,2553.0,1,서울특별시  도봉구
　　　도봉구,계,합계,3세대가구-기타,2016,3075.0,1,서울특별시  도봉구
　　　도봉구,계,합계,4세대이상 가구,2016,51.0,1,서울특별시  도봉구
　　　도봉구,계,합계,1인가구,2016,28296.0,1,서울특별시  도봉구
　　　도봉구,계,합계,비친족가구,2016,1261.0,1,서울특별시  도봉구
　　　노원구,계,합계,일반가구,2016,204606.0,1,서울특별시  노원구
　　　노원구,계,합계,1세대가구-부부,2016,26794.0,1,서울특별시  노원구
　　　노원구,계,합계,1세대가구-부부+미혼형제자매,2016,218.0,1,서울특별시  노원구
　　　노원구,계,합계,1세대가구-부부+기타친인척,2016,47.0,1,서울특별시  노원구
　　　노원구,계,합계,1세대가구-가구주+미혼형제자매,2016,2396.0,1,서울특별시  노원구
　　　노원구,계,합계,1세대가구-가구주+기타친인척,2016,165.0,1,서울특별시  노원구
　　　노원구,계,합계,1세대가구-기타,2016,925.0,1,서울특별시  노원구
　　　노원구,계,합계,2세대가구-부부+미혼자녀,2016,78113.0,1,서울특별시  노원구
　　　노원구,계,합계,2세대가구-부+미혼자녀,2016,5323.0,1,서울특별시  노원구
　　　노원구,계,합계,2세대가구-모+미혼자녀,2016,19129.0,1,서울특별시  노원구
